DISK TYPE,CPU,Memtable Size,Throughput,Compaction Frequency,Overall Compaction Cost,Cumulative CPU Time,Cumulative Compaction Input,Overall Redundant Records
PM,2,16,324180,2109,2254.51,1611.85,4768816118,136402772
PM,2,32,326639,1596,2010.25,1513.03,4521904093,132936395
PM,2,64,321286,1391,1872.66,1467.23,4407009315,133233569
PM,2,128,314376,1313,1650.15,1390.55,4228050666,132361868
PM,4,16,399785,2202,2125.69,1934.10,5343348790,139194616
PM,4,32,381924,1668,1925.62,1758.93,4924326194,137628599
PM,4,64,367792,1438,1659.39,1559.24,4442314912,136929589
PM,4,128,337491,1319,1528.04,1471.35,4288841841,133120821
PM,8,16,406333,2269,2701.54,2557.33,5735360009,140689997
PM,8,32,387040,1706,2391.05,2248.55,5272801278,139845170
PM,8,64,372657,1432,1798.19,1717.48,4414878577,137250301
PM,8,128,352611,1320,1687.69,1642.40,4328712302,133376935
PM_NOVA,2,16,184309,2249,3118.50,2683.14,7383875750,141160373
PM_NOVA,2,32,189406,1686,2641.29,2417.35,6717813721,136086982
PM_NOVA,2,64,192215,1569,2061.74,1989.01,5586788880,141005991
PM_NOVA,2,128,191280,1400,1664.85,1605.02,4556927454,140353114
PM_NOVA,4,16,198302,2257,2891.66,2875.65,7234107457,141235992
PM_NOVA,4,32,193865,1702,2621.99,2574.52,6750306077,134786034
PM_NOVA,4,64,193437,1562,2047.45,2045.66,5598381140,140923693
PM_NOVA,4,128,191673,1410,1667.67,1666.27,4573637751,140536371
PM_NOVA,8,16,195262,2271,2916.86,2914.49,7299595987,141677003
PM_NOVA,8,32,192261,1727,2834.28,2808.70,6773340019,138316995
PM_NOVA,8,64,194769,1555,2036.88,2035.33,5573710155,141234311
PM_NOVA,8,128,189206,1402,1676.38,1675.15,4573493517,140655023
NVMeSSD,2,16,361160,2076,2133.76,1246.81,4529748872,129157280
NVMeSSD,2,32,354021,1627,2000.52,1203.85,4375341598,131992925
NVMeSSD,2,64,343760,1392,1861.04,1172.51,4275660170,132848376
NVMeSSD,2,128,331772,1289,1723.32,1132.29,4164826079,132455066
NVMeSSD,4,16,415079,2221,2167.33,1557.97,5237340335,139212181
NVMeSSD,4,32,390275,1677,1952.57,1424.48,4814928263,137639307
NVMeSSD,4,64,378710,1427,1691.12,1263.20,4346426494,136709666
NVMeSSD,4,128,347905,1313,1564.53,1219.69,4272251933,132711701
NVMeSSD,8,16,412403,2279,2727.41,1784.77,5647017801,140295288
NVMeSSD,8,32,402515,1705,2446.82,1591.11,5162755661,139076165
NVMeSSD,8,64,376904,1428,1789.64,1298.27,4316509675,136642617
NVMeSSD,8,128,350244,1318,1689.41,1239.71,4242319642,133829093
